"","Genus","mean","median","min","max","prevalence"
"286","Geomicrobium",0,0,0,0.2,48.3
"287","Ammoniibacillus",0,0,0,0,27.6
"288","Aneurinibacillus",0,0,0,0.7,22.4
"289","Cohnella",0,0,0,0,8.6
"290","Fontibacillus",0,0,0,0,1.7
"291","Gorillibacterium",0,0,0,0.1,5.2
"292","Saccharibacillus",0,0,0,0.2,37.9
"293","Planococcus",0,0,0,0.1,20.7
"294","Planomicrobium",0,0,0,0.6,37.9
"295","Sporosarcina",0,0,0,0,5.2
"296","Ureibacillus",0,0,0,0.1,27.6
"297","Scopulibacillus",0,0,0,0.3,8.6
"298","Sporolactobacillus",0,0,0,0.8,29.3
"299","Tuberibacillus",0,0,0,0.2,20.7
"300","Abyssicoccus",0,0,0,0.4,65.5
"301","Aliicoccus",0,0,0,0.2,15.5
"302","Nosocomiicoccus",0,0,0,1.8,31
"303","Hazenella",0,0,0,0.1,24.1
"304","Kroppenstedtia",0,0,0,0.1,3.4
"305","Marininema",0,0,0,0,8.6
"306","Melghirimyces",0,0,0,0,8.6
"307","Polycladomyces",0,0,0,0,5.2
"308","Seinonella",0,0,0,0.1,17.2
"309","Shimazuella",0,0,0,0,3.4
"310","Abiotrophia",0,0,0,0.1,10.3
"311","Aerococcus",0,0,0,0.2,51.7
"312","Eremococcus",0,0,0,0.1,19
"313","Facklamia",0,0,0,0.5,48.3
"314","Globicatella",0,0,0,0.1,8.6
"315","Ignavigranum",0,0,0,0,3.4
"316","Alkalibacterium",0,0,0,0.1,10.3
"317","Allofustis",0,0,0,0,3.4
"318","Atopococcus",0,0,0,0,6.9
"319","Desemzia",0,0,0,0,6.9
"320","Granulicatella",0,0,0,0.1,6.9
"321","Isobaculum",0,0,0,0,8.6
"322","Marinilactibacillus",0,0,0,0,1.7
"323","Trichococcus",0,0,0,0,6.9
"324","Bavariicoccus",0,0,0,0,1.7
"325","Catellicoccus",0,0,0,0,6.9
"326","Melissococcus",0,0,0,0.2,10.3
"327","Pilibacter",0,0,0,0,5.2
"328","Tetragenococcus",0,0,0,0.1,13.8
"329","Lactobacillus",0,0,0,0,15.5
"330","Fructobacillus",0,0,0,0,19
"331","Weissella",0,0,0,0,3.4
"332","Chungangia",0,0,0,0,5.2
"333","Lactococcus",0,0,0,0,1.7
"334","Lapillicoccus",0,0,0,0,1.7
"335","Vagococcus",0,0,0,0.1,1.7
"336","Geosporobacter",0,0,0,0,5.2
"337","Butyricicoccus",0,0,0,0,3.4
"338","Caloramator",0,0,0,0,3.4
"339","Clostridiisalibacter",0,0,0,0,1.7
"340","Oceanirhabdus",0,0,0,0,12.1
"341","Proteiniclasticum",0,0,0,0,3.4
"342","Senegalia",0,0,0,0.1,5.2
"343","Thermohalobacter",0,0,0,0.2,41.4
"344","Casaltella",0,0,0,0,3.4
"345","Emergencia",0,0,0,0.1,15.5
"346","Ihubacter",0,0,0,0,3.4
"347","Fusibacter",0,0,0,0.3,8.6
"348","Acetobacterium",0,0,0,0,3.4
"349","Alkalibacter",0,0,0,0,6.9
"350","Alkalibaculum",0,0,0,0.1,6.9
"351","Aminicella",0,0,0,0.1,6.9
"352","Anaerofustis",0,0,0,0.2,19
"353","Intestinibacillus",0,0,0,0,3.4
"354","Irregularibacter",0,0,0,0,3.4
"355","Gracilibacter",0,0,0,0,8.6
"356","Heliobacterium",0,0,0,0.1,6.9
"357","Pseudobacteroides",0,0,0,0,5.2
