taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
OTU1798,164,FALSE,FALSE,FALSE,FALSE
OTU1803,35,FALSE,FALSE,FALSE,FALSE
OTU1806,104,FALSE,FALSE,FALSE,FALSE
OTU1810,235,FALSE,TRUE,TRUE,TRUE
OTU1816,6,FALSE,FALSE,FALSE,FALSE
OTU1817,1,FALSE,FALSE,FALSE,FALSE
OTU1838,61,FALSE,FALSE,FALSE,FALSE
OTU1849,225,FALSE,TRUE,TRUE,TRUE
OTU1857,54,FALSE,FALSE,FALSE,FALSE
OTU1861,34,FALSE,FALSE,FALSE,FALSE
OTU1862,30,FALSE,FALSE,FALSE,FALSE
OTU1864,35,FALSE,FALSE,FALSE,FALSE
OTU1869,0,FALSE,FALSE,FALSE,FALSE
OTU1874,5,FALSE,FALSE,FALSE,FALSE
OTU1883,12,FALSE,FALSE,FALSE,FALSE
OTU1888,233,FALSE,TRUE,TRUE,TRUE
OTU1890,24,FALSE,FALSE,FALSE,FALSE
OTU1893,263,TRUE,TRUE,TRUE,TRUE
OTU1959,189,FALSE,FALSE,FALSE,TRUE
OTU1962,35,FALSE,FALSE,FALSE,FALSE
OTU1963,5,FALSE,FALSE,FALSE,FALSE
OTU1971,0,FALSE,FALSE,FALSE,FALSE
OTU1980,254,TRUE,TRUE,TRUE,TRUE
OTU1986,19,FALSE,FALSE,FALSE,FALSE
OTU1995,23,FALSE,FALSE,FALSE,FALSE
OTU2010,200,FALSE,FALSE,TRUE,TRUE
OTU2011,13,FALSE,FALSE,FALSE,FALSE
OTU2021,13,FALSE,FALSE,FALSE,FALSE
OTU2025,10,FALSE,FALSE,FALSE,FALSE
OTU2035,3,FALSE,FALSE,FALSE,FALSE
OTU2038,25,FALSE,FALSE,FALSE,FALSE
OTU2044,8,FALSE,FALSE,FALSE,FALSE
OTU2046,68,FALSE,FALSE,FALSE,FALSE
OTU2052,12,FALSE,FALSE,FALSE,FALSE
OTU2054,7,FALSE,FALSE,FALSE,FALSE
OTU2059,8,FALSE,FALSE,FALSE,FALSE
OTU2065,24,FALSE,FALSE,FALSE,FALSE
OTU2076,6,FALSE,FALSE,FALSE,FALSE
OTU2081,37,FALSE,FALSE,FALSE,FALSE
OTU2082,62,FALSE,FALSE,FALSE,FALSE
OTU2092,19,FALSE,FALSE,FALSE,FALSE
OTU2099,15,FALSE,FALSE,FALSE,FALSE
OTU2100,10,FALSE,FALSE,FALSE,FALSE
OTU2111,48,FALSE,FALSE,FALSE,FALSE
OTU2117,0,FALSE,FALSE,FALSE,FALSE
OTU2125,27,FALSE,FALSE,FALSE,FALSE
OTU2127,0,FALSE,FALSE,FALSE,FALSE
OTU2129,22,FALSE,FALSE,FALSE,FALSE
OTU2147,17,FALSE,FALSE,FALSE,FALSE
OTU2162,11,FALSE,FALSE,FALSE,FALSE
OTU2172,265,TRUE,TRUE,TRUE,TRUE
OTU2201,54,FALSE,FALSE,FALSE,FALSE
OTU2203,21,FALSE,FALSE,FALSE,FALSE
OTU2218,200,FALSE,FALSE,TRUE,TRUE
OTU2243,173,FALSE,FALSE,FALSE,TRUE
OTU2283,209,FALSE,FALSE,TRUE,TRUE
OTU2295,18,FALSE,FALSE,FALSE,FALSE
OTU2296,16,FALSE,FALSE,FALSE,FALSE
OTU2306,24,FALSE,FALSE,FALSE,FALSE
OTU2310,24,FALSE,FALSE,FALSE,FALSE
OTU2314,18,FALSE,FALSE,FALSE,FALSE
OTU2325,25,FALSE,FALSE,FALSE,FALSE
OTU2331,37,FALSE,FALSE,FALSE,FALSE
OTU2335,191,FALSE,FALSE,FALSE,TRUE
OTU2341,25,FALSE,FALSE,FALSE,FALSE
OTU2346,31,FALSE,FALSE,FALSE,FALSE
OTU2353,8,FALSE,FALSE,FALSE,FALSE
OTU2361,75,FALSE,FALSE,FALSE,FALSE
OTU2371,177,FALSE,FALSE,FALSE,TRUE
OTU2375,37,FALSE,FALSE,FALSE,FALSE
OTU2377,0,FALSE,FALSE,FALSE,FALSE
OTU2381,35,FALSE,FALSE,FALSE,FALSE
OTU2390,176,FALSE,FALSE,FALSE,TRUE
OTU2398,68,FALSE,FALSE,FALSE,FALSE
OTU2495,24,FALSE,FALSE,FALSE,FALSE
OTU2515,12,FALSE,FALSE,FALSE,FALSE
OTU2529,271,TRUE,TRUE,TRUE,TRUE
OTU2540,13,FALSE,FALSE,FALSE,FALSE
OTU2542,21,FALSE,FALSE,FALSE,FALSE
OTU2544,12,FALSE,FALSE,FALSE,FALSE
OTU2550,15,FALSE,FALSE,FALSE,FALSE
OTU2564,24,FALSE,FALSE,FALSE,FALSE
OTU2567,17,FALSE,FALSE,FALSE,FALSE
OTU2569,38,FALSE,FALSE,FALSE,FALSE
